INSERT INTO `alumno` VALUES ('20150001', 'Almaraz', 'Remigio', 'Manuel Alejandro', 'Ma Elena', 'priv macadamia', 'Huehuetoca', 54689, '5519093222', '5545746226', '15/16');
INSERT INTO `alumno` VALUES ('20150025', 'Bautista', 'Alcantar', 'Valeria', 'Beatriz Alcantar', 'Canal de chalco', 'Coacalco', 54121, '55191233222', '55454126226', '15/16');
INSERT INTO `alumno` VALUES ('20150026', 'Alcala', 'Negron', 'Chritian', 'Belinda Negron', 'Calle Municipalidad', 'Coacalco', 542231, '55191233222', '55454126226', '15/16');
INSERT INTO `alumno` VALUES ('20150027', 'Almora', 'Hernandez', 'Raul', 'Laura Hernandez', 'Priv Consejo distrital', 'Coacalco', 54144, '55191233222', '55454126226', '15/16');
INSERT INTO `alumno` VALUES ('20150028', 'Aloisa', 'Velazco', 'Jorge', 'Raul Velazco', 'Ransa comersial S/N', 'Coacalco', 53141, '55191233222', '55454126226', '15/16');
INSERT INTO `alumno` VALUES ('20150029', 'Alva', 'Campos', 'Victor', 'Juan Alva', 'Calle San Andres', 'Coacalco', 54121, '55191233222', '55454126226', '15/16');
INSERT INTO `alumno` VALUES ('20150030', 'Arevalo', 'Lopez', 'Javier', 'Julia Lopez', 'Calle San Benito', 'Coacalco', 54423, '55191233222', '55454126226', '15/16');
INSERT INTO `alumno` VALUES ('20150031', 'Arias', 'Lopez', 'Rosario', 'Juana Lopez', 'Calle el rosario 900', 'Coacalco', 54114, '55191233222', '55454126226', '15/16');
INSERT INTO `alumno` VALUES ('20150032', 'Alva', 'Campos', 'Victor', 'Juan Alva', 'Calle San Andres', 'Coacalco', 54121, '55191233222', '55454126226', '15/16');
INSERT INTO `alumno` VALUES ('20150033', 'Arroyo', 'Martinez', 'Efrain', 'Jose Martinez', 'Calle Benito Juarez', 'Coacalco', 52121, '55191233222', '55454126226', '15/16');
INSERT INTO `alumno` VALUES ('20150034', 'Alvares', 'Campos', 'Victor', 'Juan Alva', 'Calle San Andres', 'Coacalco', 54121, '55191233222', '55454126226', '15/16');
INSERT INTO `alumno` VALUES ('20150035', 'Arias', 'London', 'Ramiro', 'Juana Lopez', 'Calle el rosario 900', 'Coacalco', 54114, '55191233222', '55454126226', '15/16');
INSERT INTO `alumno` VALUES ('20150036', 'ALocen', 'Barrera', 'Marcos', 'Luna Barrera', 'Calle el 900', 'Coacalco', 54114, '55191233222', '55454126226', '15/16');
INSERT INTO `alumno` VALUES ('20150037', 'Aliani', 'Ureta', 'Cesar', 'Rosario Ureta', 'Calle Veltran 90', 'Coacalco', 54114, '55191233222', '55454126226', '15/16');
INSERT INTO `alumno` VALUES ('20150038', 'Beila', 'Rojas', 'Flor', 'Cesar Beila', 'Calle el Malecon', 'Coacalco', 54114, '55191233222', '55454126226', '15/16');
INSERT INTO `alumno` VALUES ('20150039', 'Bedoya', 'Castillo', 'Leoncia', 'Flor Castillo', 'Callle replublica', 'Coacalco', 54114, '55191233222', '55454126226', '15/16');
INSERT INTO `alumno` VALUES ('20150040', 'Arias', 'Lopez', 'Rosario', 'Juana Lopez', 'Calle el rosario 900', 'Coacalco', 54114, '55191233222', '55454126226', '15/16');
INSERT INTO `alumno` VALUES ('20150041', 'BEDOYA', 'CASTILLO', 'LEONCIA', 'YANED', 'Privada 1', 'Huehuetoca', 54122, '559120989', '532461655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150042', 'BEDREGAL', 'CANALES', 'LUZ MARINA', 'JESUS', 'Privada 2', 'Coacalco', 51991, '559122989', '528462655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150043', 'BEDOYA', 'TORRES', 'CASTILLO', 'WILSON', 'Privada 3', 'Tultitlan', 58999, '551122989', '524463655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150044', 'BEDREGAL', 'CANALES', 'LUZ', 'EDGAR', 'Privada 4', 'Cuatitlan', 57211, '548457655.7', '520464655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150045', 'BEJAR', 'TORRES', 'RAMIRO', 'MAR', 'Privada 5', 'Naucalpan', 55423, '544458655.7', '516465655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150046', 'BENAVIDES', 'ESPEJO', 'JAVIER', 'ANGE', 'Privada 6', 'Huehuetoca', 53635, '540459655.7', '512466655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150047', 'BOZA', 'SOLIS', 'NELSON', 'ERIKA', 'Privada 7', 'Coacalco', 51847, '536460655.7', '508467655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150048', 'CALLE', 'BETANCOURT', 'CIELITO', 'MIGUEL', 'Privada 8', 'Tultitlan', 50059, '532461655.7', '504468655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150049', 'CARAZA', 'VILLEGAS', 'ISABEL', 'LU', 'Privada 9', 'Cuatitlan', 48271, '528462655.7', '500469655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150050', 'CARRERA', 'ABANTO', 'GIZELLA', 'LILIANA', 'Privada 10', 'Naucalpan', 46483, '524463655.7', '496470655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150051', 'CARRILLO', 'SEGURA', 'ESTALINS', 'GUSTAVO', 'Privada 11', 'Huehuetoca', 44695, '520464655.7', '492471655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150052', 'CARRI', 'NEIRA', 'JORGE', 'MIGUEL', 'Privada 12', 'Coacalco', 42907, '516465655.7', '488472655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150053', 'CASAPIA', 'VALDIVIA', 'GUILLERMO', 'LUZ', 'Privada 13', 'Tultitlan', 41119, '512466655.7', '484473655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150054', 'CHANCOS', 'MENDOZA', 'ZARITA', 'LU', 'Privada 14', 'Cuatitlan', 39331, '508467655.7', '508467655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150055', 'CHIRINOS', 'LACOTERA', 'CARLOS', 'BEATRIZ', 'Privada 15', 'Naucalpan', 37543, '504468655.7', '504468655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150056', 'CORES', 'MORENO', 'DORIS', 'CLAUDIA', 'Privada 16', 'Huehuetoca', 35755, '500469655.7', '500469655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150057', 'CORTEZ', 'LOZANO', 'MARIBEL', 'MAR', 'Privada 17', 'Coacalco', 33967, '496470655.7', '496470655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150058', 'CRISPIN', 'QUISPE', 'ANGEL', 'ANA', 'Privada 18', 'Tultitlan', 32179, '492471655.7', '492471655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150059', 'DE', 'LOAYZA', 'CONTERNO,', 'EUCARIS', 'Privada 19', 'Cuatitlan', 30391, '488472655.7', '488472655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150060', 'DIAZ', 'SALINAS', 'ANA', 'GERMAN', 'Privada 20', 'Huehuetoca', 28603, '484473655.7', '484473655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150061', 'DUE', 'ARISTISABAL', 'ANTONIO', 'ANGELICA', 'Privada 21', 'Coacalco', 26815, '480474655.7', '480474655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150062', 'ESPINOZA', 'ARANA', 'YULIANA', 'JUAN', 'Privada 22', 'Tultitlan', 25027, '476475655.7', '476475655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150063', 'FERNANDEZ', 'GUZMAN', 'CARLOS', 'RUGGIERO', 'Privada 23', 'Cuatitlan', 23239, '472476655.7', '472476655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150064', 'FERNANDEZ', 'MATTA', 'ESTHER', 'MAR', 'Privada 24', 'Naucalpan', 21451, '468477655.7', '468477655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150065', 'FERRO', 'SALAS', 'OLGA', 'EDNA', 'Privada 25', 'Huehuetoca', 19663, '464478655.7', '464478655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150066', 'FLORES', 'ROMERO', 'EDWIN', 'ADRIANA', 'Privada 26', 'Coacalco', 17875, '460479655.7', '460479655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150067', 'GAMARRA', 'ASTETE', 'ROBERTO', 'RICARDO', 'Privada 27', 'Tultitlan', 16087, '456480655.7', '456480655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150068', 'GAMIO', 'LOZANO', 'GLORIA', 'JAIME', 'Privada 28', 'Cuatitlan', 14299, '452481655.7', '452481655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150069', 'GARC', 'PERALTA', 'MIRIAM', 'LU', 'Privada 29', 'Naucalpan', 12511, '448482655.7', '448482655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150070', 'GONZALES', 'DEL', 'VALLE', 'BEATRIZ', 'Privada 30', 'Huehuetoca', 10723, '444483655.7', '444483655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150071', 'GONZALES', 'HUILCA', 'MARLENE', 'JULIAN', 'Privada 31', 'Coacalco', 58999, '440484655.7', '440484655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150072', 'GONZALES', 'MEDINA', 'ELSA', 'ANTONIO', 'Privada 32', 'Tultitlan', 57211, '436485655.7', '436485655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150073', 'GUTIERREZ', 'VELEZ', 'JAVIER', 'SANDRA', 'Privada 33', 'Cuatitlan', 55423, '432486655.7', '432486655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150074', 'GUZMAN', 'CHINAG', 'ELENA', 'LU', 'Privada 34', 'Naucalpan', 53635, '428487655.7', '428487655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150075', 'GUZMAN', 'QUISPE', 'CLARA', 'ARMANDO', 'Privada 35', 'Huehuetoca', 51847, '424488655.7', '424488655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150076', 'HERRERA', 'CARBAJAL', 'MILAGROS', 'SILVA', 'Privada 36', 'Coacalco', 50059, '420489655.7', '420489655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150077', 'HORRUITINER', 'MARTINEZ', 'GUILLERMO', 'VALERIA', 'Privada 37', 'Tultitlan', 48271, '416490655.7', '416490655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150078', 'HUAMANI', 'FLORES', 'LOURDES', 'STUARTH', 'Privada 38', 'Cuatitlan', 46483, '412491655.7', '412491655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150079', 'HUAPAYA', 'RAYGADA', 'LUIS', 'GONZ', 'Privada 39', 'Huehuetoca', 44695, '408492655.7', '408492655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150080', 'HUARCAYA', 'QUISPE', 'MARCOS', 'OLGA', 'Privada 40', 'Coacalco', 42907, '404493655.7', '532461655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150081', 'HUAYTAN', 'SAU', 'WALTER', 'PABLO', 'Privada 41', 'Tultitlan', 41119, '400494655.7', '528462655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150082', 'LA', 'ROSA', 'FABIAN,', 'JUAN', 'Privada 42', 'Cuatitlan', 39331, '396495655.7', '524463655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150083', 'LANDA', 'GINOCCHIO', 'PEDRO', 'ANA', 'Privada 43', 'Naucalpan', 37543, '392496655.7', '520464655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150084', 'LLAJA', 'TAFUR', 'ROBERTO', 'ANDR', 'Privada 44', 'Huehuetoca', 35755, '388497655.7', '516465655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150085', 'LLENPEN', 'NU', 'ORFELINA', 'WILFRAN', 'Privada 45', 'Coacalco', 33967, '384498655.7', '512466655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150086', 'LUJAN', 'VENEGAS', 'HECTOR', 'ISABEL', 'Privada 46', 'Tultitlan', 32179, '380499655.7', '508467655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150087', 'MAGUI', 'SAN', 'YEN', 'OSCAR', 'Privada 47', 'Cuatitlan', 30391, '376500655.7', '504468655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150088', 'MALDONADO', 'QUISPE', 'COSME', 'HECTOR', 'Privada 48', 'Naucalpan', 28603, '372501655.7', '500469655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150089', 'MALDONADO', 'TINCO', 'SANDRA', 'ARMANDO', 'Privada 49', 'Huehuetoca', 42907, '368502655.7', '496470655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150090', 'MALLQUI', 'CELESTINO', 'JENNY', 'WILSON', 'Privada 50', 'Coacalco', 41119, '364503655.7', '492471655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150091', 'MAMANI', 'UCHASARA', 'SANTIAGO', 'MAR', 'Privada 51', 'Tultitlan', 39331, '360504655.7', '488472655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150092', 'MARAVI', 'NAVARRO', 'MAGDA', 'MARCO', 'Privada 52', 'Cuatitlan', 37543, '356505655.7', '484473655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150093', 'MARTINEZ', 'MARQUEZ', 'MARTIN', 'FELIX', 'Privada 53', 'Naucalpan', 35755, '352506655.7', '352506655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150094', 'MEDINA', 'ZUTA', 'OSCAR', 'MAR', 'Privada 54', 'Huehuetoca', 33967, '348507655.7', '348507655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150095', 'MELGAREJO', 'VIBES', 'CARLOS', 'GILBERTO', 'Privada 55', 'Coacalco', 32179, '344508655.7', '344508655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150096', 'MIGUEL', 'HOLGADO', 'ELIZABETH', 'MELISSA', 'Privada 56', 'Tultitlan', 30391, '340509655.7', '340509655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150097', 'MORI', 'RAMIREZ', 'MANUEL', 'MARTA', 'Privada 57', 'Cuatitlan', 28603, '336510655.7', '336510655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150098', 'NU', 'HUAYANAY', 'CARLOS', 'RECAREDO', 'Privada 58', 'Huehuetoca', 26815, '332511655.7', '332511655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150099', 'ORE', 'REYES', 'OLGA', 'DAVID', 'Privada 59', 'Coacalco', 25027, '328512655.7', '328512655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150100', 'ORRILLO', 'ORTIZ', 'JOSUE', 'MAR', 'Privada 60', 'Tultitlan', 23239, '324513655.7', '324513655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150101', 'ORRILLO', 'ORTIZ', 'JOSU', 'GIOVANNI', 'Privada 61', 'Cuatitlan', 21451, '320514655.7', '320514655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150102', 'PARDAVE', 'CAMACHO', 'CARMEN', 'JUAN', 'Privada 62', 'Naucalpan', 19663, '316515655.7', '316515655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150103', 'PAREDES', 'JARAMILLO', 'SANTIAGO', 'CARLOS', 'Privada 63', 'Huehuetoca', 17875, '312516655.7', '312516655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150104', 'PASTOR', 'PORRAS', 'ARTURO', 'EDUARDO', 'Privada 64', 'Coacalco', 16087, '308517655.7', '308517655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150105', 'PINEDO', 'NU', 'ENRIQUE', 'GLORIA', 'Privada 65', 'Tultitlan', 50059, '304518655.7', '304518655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150106', 'PRADA', 'VILCHEZ', 'SONIA', 'DIANA', 'Privada 66', 'Cuatitlan', 48271, '300519655.7', '300519655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150107', 'RIEGA', 'CALLE', 'GERARDO', 'JUAN', 'Privada 67', 'Naucalpan', 46483, '296520655.7', '296520655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150108', 'RIOS', 'LIMA', 'FREDDY', 'MAR', 'Privada 68', 'Huehuetoca', 44695, '292521655.7', '292521655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150109', 'RIOS', 'LIMA', 'TERESA', 'MARCO', 'Privada 69', 'Coacalco', 42907, '288522655.7', '288522655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150110', 'RIQUELME', 'MIRANDA', 'JUAN', 'JOAQUIN', 'Privada 70', 'Tultitlan', 41119, '284523655.7', '284523655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150111', 'ROA', 'YANAC', 'GEORGINA', 'WALTER', 'Privada 71', 'Cuatitlan', 39331, '280524655.7', '280524655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150112', 'ROBLES', 'VALVERDE', 'ROSA', 'ANGELA', 'Privada 72', 'Naucalpan', 37543, '276525655.7', '276525655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150113', 'RODRIGUEZ', 'FARIAS', 'ROSA', 'MAGDA', 'Privada 73', 'Huehuetoca', 35755, '272526655.7', '272526655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150114', 'ROJAS', 'VALDIVIA', 'MARIA', 'WILLIAM', 'Privada 74', 'Coacalco', 33967, '268527655.7', '268527655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150115', 'ROMERO', 'GOMEZ', 'SANCHEZ,', 'LIBARDO', 'Privada 75', 'Tultitlan', 32179, '264528655.7', '264528655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150116', 'ROSALES', 'FLORES', 'CARINA', 'SARA', 'Privada 76', 'Cuatitlan', 30391, '260529655.7', '260529655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150117', 'ROSAS', 'BONIFAZ', 'CARLOS', 'CESAR', 'Privada 77', 'Huehuetoca', 28603, '256530655.7', '256530655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150118', 'RUIZ', 'DE', 'CASTILLA', 'NINI', 'Privada 78', 'Coacalco', 26815, '252531655.7', '252531655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150119', 'SALCEDO', 'DEL', 'PINO,', 'ALVARO', 'Privada 79', 'Tultitlan', 25027, '248532655.7', '248532655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150120', 'SALINAS', 'PUCCIO', 'VIOLETA', 'JHULIANA', 'Privada 80', 'Cuatitlan', 23239, '244533655.7', '244533655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150121', 'SANCHEZ', 'ARONE', 'AUGUSTO', 'YAMIL', 'Privada 81', 'Naucalpan', 21451, '240534655.7', '240534655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150122', 'SANTA', 'CRUZ', 'BENSSA,', 'DIEGO', 'Privada 82', 'Huehuetoca', 19663, '236535655.7', '236535655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150123', 'SOLANO', 'VARGAS', 'ANGEL', 'MAR', 'Privada 83', 'Coacalco', 17875, '232536655.7', '232536655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150124', 'TEJEDO', 'LUNA', 'JOSE', 'MONICA', 'Privada 84', 'Tultitlan', 16087, '228537655.7', '228537655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150125', 'TENORIO', 'DAVILA', 'ANGEL', 'ISMAEL', 'Privada 85', 'Cuatitlan', 54122, '224538655.7', '532461655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150126', 'TORRES', 'GASPAR', 'MIGUEL', 'CARRILLO', 'Privada 86', 'Naucalpan', 5199, '220539655.7', '528462655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150127', 'TRUJILLO', 'PARODI', 'JACQUELIN', 'WILIAM', 'Privada 87', 'Huehuetoca', 58999, '216540655.7', '524463655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150128', 'VEGA', 'CARREAZO', 'RUTH', 'ANDREA', 'Privada 88', 'Coacalco', 57211, '212541655.7', '520464655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150129', 'VELASQUEZ', 'RAMOS', 'GUILLERMO', 'VICTOR', 'Privada 89', 'Tultitlan', 55423, '208542655.7', '516465655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150130', 'VERA', 'SILVA', 'ALEJANDRO', 'JOS', 'Privada 90', 'Cuatitlan', 53635, '204543655.7', '512466655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150131', 'VILCA', 'LUCERO', 'BLANCA', 'ALVARO', 'Privada 91', 'Naucalpan', 51847, '200544655.7', '508467655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150132', 'VILGOSO', 'ALVARADO', 'ENRIQUE', 'CAROLINA', 'Privada 92', 'Huehuetoca', 50059, '196545655.7', '504468655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150133', 'YAMAWAKI', 'ONAGA', 'CECILIA', 'GINA', 'Privada 93', 'Coacalco', 48271, '192546655.7', '500469655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150134', 'ZAMALLOA', 'VEGA', 'MARIELA', 'JUAN', 'Privada 94', 'Tultitlan', 46483, '188547655.7', '496470655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150135', 'ZAPATA', 'CHANG', 'MONICA', 'PAULA', 'Privada 95', 'Cuatitlan', 44695, '184548655.7', '492471655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150136', 'ZEGARRA', 'SALCEDO', 'JUAN', 'GLORIA', 'Privada 96', 'Huehuetoca', 54122, '180549655.7', '488472655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150137', 'ZU', 'FLORES', 'HILRICH', 'IRMA', 'Privada 97', 'Coacalco', 5199, '176550655.7', '484473655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150138', 'ACEVEDO', 'L', 'WILLIAM', 'MAR', 'Privada 98', 'Tultitlan', 58999, '172551655.7', '172551655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150139', 'ACOSTA', 'CALA', 'ALVARO', 'JOHN', 'Privada 99', 'Cuatitlan', 57211, '168552655.7', '168552655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150140', 'ACOSTA', 'RUIZ', 'BERNARDO', 'DIANA', 'Privada 100', 'Naucalpan', 55423, '164553655.7', '164553655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150141', 'ACOSTA', 'V', 'MANUEL', 'EMERSON', 'Privada 101', 'Huehuetoca', 53635, '160554655.7', '160554655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150142', 'ACOSTA', 'V', 'RICARDO', 'EDUARDO', 'Privada 102', 'Coacalco', 51847, '156555655.7', '156555655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150143', 'AGONH', 'PEDRAZA', 'ROCIO', 'GERARDO', 'Privada 103', 'Tultitlan', 50059, '152556655.7', '152556655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150144', 'AGUDELO', 'RESTREPO', 'ANA', 'LU', 'Privada 104', 'Cuatitlan', 48271, '148557655.7', '148557655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150145', 'AGUILAR', 'DELGADO', 'OSCAR', 'HOLMES', 'Privada 105', 'Naucalpan', 46483, '144558655.7', '144558655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150146', 'AGUILAR', 'ROMERO', 'JOHN', 'JAIME', 'Privada 106', 'Huehuetoca', 44695, '140559655.7', '140559655.7', '15/16');
